Date,Event,Opponent,Location,Time,Coach,Assist,Driver,Notes
6/30,U15 Hoops,Nashoba North,Home,2:30,,,,3 v. 3
6/30,U13 Tennis,Nashoba North,Nashoba North,2:30,,,,3 + 2
7/1,U15 Soccer,Nashoba North,Home,2:30,,,,6 v. 6
7/1,U13 Tennis,Nashoba North,Nashoba North,2:30,,,,
7/10,Nashoba Cup,,Nashoba North,,,,,
7/12,U15 Ultimate,Netop,Home,2:30,,,,
7/12 - 7/13,AAITT,,Home,,,,,
7/13 - 7/14,Wabinoden ,,,,,,,
7/14,Agawam Cup,,Home,2-5pm,,,,
7/15,U15 Lax,Laurel South,Home- Nelson Fields,,,,,
7/17 ,U13 Baseball,Netop,Netop,2:30,,,,
7/18,U15 Baseball,Timanous,Home,2:30,,,,
7/2,U13 Soccer,Netop,Netop,2:30,,,,Call w/ numbers
7/20,U15 Archery/Riflery,Timanous,Timanous,2:30,,,,
7/20,U13 Tennis,Timanous,Home,2:30,,,,
7/21,U15 Hoops,Timanous,Home,2:30,,,,
7/24,U10 Kickball,Netop,Home,3:00,,,,
7/24,U15 Lax,Laurel South,Home,2:30,,,,
7/25,U15 Archery,Netop,Home,2:30,,,,6 total; 1 each age
7/26,U15 Flag Football,Netop,Home,2:30,,,,
7/28,U12 Soccer,Timanous,Home,2:30,,,,
7/28,Netop Fishing Derby,,Netop,2:30,,,,4 boys
7/28,Cardboard Regatte,Timanous & Netop,Home,2:30,,,,
7/3,U13 Baseball,Netop,Home,2:30,,,,
7/3,Ping Pong,Netop,Netop,2:30,,,,
7/31-8/1,Six-A-Side,,Home,,,,,
7/6,U13 Hoops,Laurel South,Laurel South,7:30pm,,,,5 v. 5
7/7,Fishing Derby,,Netop,2:30,,,,4 boys
7/7,U11 Kickball,Netop,Netop,2:30,,,,
7/7,Agawam Cup,,Home,2-5pm,,,,
7/9,U15 Hoops,Laurel South,Laurel South,7:30pm,,,,
8/2,U15 Tennis,Nashoba North,Nashoba North,2:30,,,,
8/2,U12 Kickball,Nashoba North,Home,2:30,,,,
8/3,Disc Golf,Nashoba North,Nashoba North,2:30,,,,
8/3,U15 Hoops,Laurel South,Laurel South,7:30pm,,,,
8/4,U15 Soccer,Nashoba North,Home,2:30,,,,
8/7,U13 Hoops,Laurel South,Laurel South,7:30pm,,,,
8/9,U15 Flag Football,Laurel South,Home,2:30,,,,
